# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Sep 26 14:36:27 2018
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_name:        Planet Name
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_disc_reflink: Discovery Reference
#
loc_rowid,pl_hostname,pl_name,pl_pnum,pl_kepflag,ra_str,ra,dec_str,dec,pl_disc_reflink
15,2MASS J19383260+4603591,2MASS J19383260+4603591 b,1,1,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,<a refstr=BARAN_ET_AL__2015 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...577A.146B target=ref>Baran et al. 2015</a>
16,2MASS J21402931+1625183 A,2MASS J21402931+1625183 A b,1,0,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,<a refstr=KONOPACKY_ET_AL__2010 href=http://adsabs.harvard.edu/abs/2010ApJ...711.1087K target=ref> Konopacky et al. 2010 </a>
17,2MASS J22362452+4751425,2MASS J22362452+4751425 b,1,0,22h36m24.53s,339.102203,+47d51m42.6s,47.861820,<a refstr=BOWLER_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153...18B target=ref>Bowler et al. 2017</a>
18,30 Ari B,30 Ari B b,1,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,<a refstr=GUENTHER_ET_AL__2009 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...507.1659G target=ref> Guenther et al. 2009 </a>
19,4 UMa,4 UMa b,1,0,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,<a refstr=DOLLINGER_ET_AL__2007 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007A&A...472..649D target=ref> Dollinger et al. 2007 </a>
20,42 Dra,42 Dra b,1,0,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,<a refstr=DOELLINGER_ET_AL__2009 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...499..935D target=ref> Doellinger et al. 2009 </a>
21,47 UMa,47 UMa b,3,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,<a refstr=BUTLER___MARCY_1996 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=1996ApJ...464L.153B target=ref> Butler & Marcy 1996 </a>
22,47 UMa,47 UMa c,3,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,<a refstr=FISCHER_ET_AL__2002 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2002ApJ...564.1028F target=ref> Fischer et al. 2002 </a>
23,47 UMa,47 UMa d,3,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,<a refstr=GREGORY___FISCHER_2010 href=http://adsabs.harvard.edu/abs/2010MNRAS.403..731G target=ref> Gregory &amp; Fischer 2010 </a>
24,51 Eri,51 Eri b,1,0,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,<a refstr=MACINTOSH_ET_AL__2015 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015Sci...350...64M target=ref>Macintosh et al. 2015</a>
25,51 Peg,51 Peg b,1,0,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,<a refstr=MAYOR___QUELOZ_1995 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=1995Natur.378..355M target=ref> Mayor & Queloz 1995 </a>
26,55 Cnc,55 Cnc b,5,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,<a refstr=BUTLER_ET_AL__1997 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=1997ApJ...474L.115B target=ref> Butler et al. 1997 </a>
27,55 Cnc,55 Cnc c,5,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,<a refstr=MCARTHUR_ET_AL__2004 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2004ApJ...614L..81M target=ref> McArthur et al. 2004 </a>
28,55 Cnc,55 Cnc d,5,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,<a refstr=MARCY_ET_AL__2002 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2002ApJ...581.1375M target=ref> Marcy et al. 2002 </a>
29,55 Cnc,55 Cnc e,5,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,<a refstr=MCARTHUR_ET_AL__2004 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2004ApJ...614L..81M target=ref> McArthur et al. 2004 </a>
30,55 Cnc,55 Cnc f,5,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,<a refstr=FISCHER_ET_AL__2008 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008ApJ...675..790F target=ref> Fischer et al. 2008 </a>
31,6 Lyn,6 Lyn b,1,0,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,<a refstr=SATO_ET_AL__2008 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60.1317S target=ref> Sato et al. 2008 </a>
32,61 Vir,61 Vir b,3,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,<a refstr=VOGT_ET_AL__2010 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...708.1366V target=ref> Vogt et al. 2010 </a>
33,61 Vir,61 Vir c,3,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,<a refstr=VOGT_ET_AL__2010 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...708.1366V target=ref> Vogt et al. 2010 </a>
34,61 Vir,61 Vir d,3,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,<a refstr=VOGT_ET_AL__2010 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...708.1366V target=ref> Vogt et al. 2010 </a>
35,7 CMa,7 CMa b,1,0,06h36m41.04s,99.170990,-19d15m21.2s,-19.255878,<a refstr=WITTENMYER_ET_AL__2011 href=http://adsabs.harvard.edu/abs/2011arXiv1111.1007W target=ref> Wittenmyer et al. 2011 </a>
36,70 Vir,70 Vir b,1,0,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,<a refstr=MARCY___BUTLER_1996 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=1996ApJ...464L.147M target=ref> Marcy & Butler 1996 </a>
37,75 Cet,75 Cet b,1,0,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,<a refstr=SATO_ET_AL__2012 href=http://adsabs.harvard.edu/abs/2012PASJ...64..135S target=ref> Sato et al. 2012 </a>
38,8 UMi,8 UMi b,1,0,14h56m48.35s,224.201477,+74d54m03.3s,74.900925,<a refstr=LEE_ET_AL__2015 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...584A..79L target=ref>Lee et al. 2015</a>
39,81 Cet,81 Cet b,1,0,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,<a refstr=SATO_ET_AL__2008 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60.1317S target=ref> Sato et al. 2008 </a>
40,91 Aqr,91 Aqr b,1,0,23h15m53.50s,348.972900,-09d05m15.9s,-9.087737,<a refstr=MITCHELL_ET_AL__2013 href=http://adsabs.harvard.edu/abs/2013A%26A...555A..87M target=ref> Mitchell et al. 2013 </a>
41,AB Pic,AB Pic b,1,0,06h19m12.91s,94.803802,-58d03m15.5s,-58.054310,<a refstr=CHAUVIN_ET_AL__2005 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2005A&A...438L..29C target=ref> Chauvin et al. 2005 </a>
42,BD+03 2562,BD+03 2562 b,1,0,11h50m15.55s,177.564804,+02d45m36.5s,2.760142,<a refstr=VILLAVER_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017A&A...606A..38V target=ref>Villaver et al. 2017</a>
43,BD+14 4559,BD+14 4559 b,1,0,21h13m35.99s,318.399963,+14d41m21.8s,14.689387,<a refstr=NIEDZIELSKI_ET_AL__2009 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...707..768N target=ref> Niedzielski et al. 2009 </a>
44,BD+15 2375,BD+15 2375 b,1,0,11h45m55.72s,176.482174,+14d36m59.0s,14.616381,<a refstr=NIEDZIELSKI_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...588A..62N target=ref>Niedzielski et al. 2016</a>
45,BD+15 2940,BD+15 2940 b,1,0,16h00m22.94s,240.095566,+15d32m48.9s,15.546930,<a refstr=NOWAK_ET_AL__2013 href=http://adsabs.harvard.edu/abs/2013ApJ...770...53N target=ref> Nowak et al. 2013 </a>
46,BD+20 2457,BD+20 2457 b,2,0,10h16m44.86s,154.186910,+19d53m29.1s,19.891409,<a refstr=NIEDZIELSKI_ET_AL__2009 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...707..768N target=ref> Niedzielski et al. 2009 </a>
47,BD+20 2457,BD+20 2457 c,2,0,10h16m44.86s,154.186910,+19d53m29.1s,19.891409,<a refstr=NIEDZIELSKI_ET_AL__2009 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...707..768N target=ref> Niedzielski et al. 2009 </a>
48,BD+20 274,BD+20 274 b,1,0,01h43m40.88s,25.920324,+21d00m19.1s,21.005314,<a refstr=GETTEL_ET_AL__2012 href=http://adsabs.harvard.edu/abs/2012ApJ...756...53G target=ref> Gettel et al. 2012 </a>
49,BD+20 594,BD+20 594 b,1,0,03h34m36.23s,53.650967,+20d35m57.2s,20.599232,<a refstr=ESPINOZA_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...830...43E target=ref>Espinoza et al. 2016</a>
50,BD+48 738,BD+48 738 b,1,0,02h42m50.45s,40.710224,+49d35m13.1s,49.586960,<a refstr=GETTEL_ET_AL__2012 href=http://adsabs.harvard.edu/abs/2012ApJ...745...28G target=ref> Gettel et al. 2012 </a>
51,BD+48 740,BD+48 740 b,1,0,02h42m58.22s,40.742569,+48d55m48.2s,48.930061,<a refstr=ADAMOW_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180104379A target=ref>Adamow et al. 2018</a>
52,BD+49 828,BD+49 828 b,1,0,03h02m33.73s,45.640529,+49d43m48.0s,49.730011,<a refstr=NIEDZIELSKI_ET_AL__2015 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...803....1N target=ref>Niedzielski et al. 2015</a>
53,BD-06 1339,BD-06 1339 b,2,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,<a refstr=LO_CURTO_ET_AL__2013 href=http://adsabs.harvard.edu/abs/2013A%26A...551A..59L target=ref> Lo Curto et al. 2013 </a>
54,BD-06 1339,BD-06 1339 c,2,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,<a refstr=LO_CURTO_ET_AL__2013 href=http://adsabs.harvard.edu/abs/2013A%26A...551A..59L target=ref> Lo Curto et al. 2013 </a>
55,BD-08 2823,BD-08 2823 b,2,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.516680,<a refstr=HEBRARD_ET_AL__2010 href=http://adsabs.harvard.edu/abs/2010A%26A...512A..46H target=ref> H&eacute;brard et al. 2010 </a>
56,BD-08 2823,BD-08 2823 c,2,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.516680,<a refstr=HEBRARD_ET_AL__2010 href=http://adsabs.harvard.edu/abs/2010A%26A...512A..46H target=ref> H&eacute;brard et al. 2010 </a>
57,BD-10 3166,BD-10 3166 b,1,0,10h58m28.80s,164.620003,-10d46m13.4s,-10.770376,<a refstr=BUTLER_ET_AL__2000 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2000ApJ...545..504B target=ref> Butler et al. 2000 </a>
58,BD-11 4672,BD-11 4672 b,1,0,18h33m28.84s,278.370148,-11d38m09.7s,-11.636039,<a refstr=MOUTOU_ET_AL__2015 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...576A..48M target=ref>Moutou et al. 2015</a>
59,BD-13 2130,BD-13 2130 b,1,0,07h37m09.23s,114.288458,-13d54m23.9s,-13.906639,<a refstr=LOVIS___MAYOR_2007 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007A&A...472..657L target=ref> Lovis & Mayor 2007 </a>
60,BD-17 63,BD-17 63 b,1,0,00h28m34.31s,7.142942,-16d13m34.8s,-16.226345,<a refstr=MOUTOU_ET_AL__2009 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...496..513M target=ref> Moutou et al. 2009 </a>
61,CFBDSIR J145829+101343,CFBDSIR J145829+101343 b,1,0,14h58m29.00s,224.620833,+10d13m43.0s,10.228611,<a refstr=LIU_ET_AL__2011 href=http://adsabs.harvard.edu/abs/2011ApJ...740..108L target=ref> Liu et al. 2011 </a>
62,CHXR 73,CHXR 73 b,1,0,11h06m28.77s,166.619893,-77d37m33.2s,-77.625877,<a refstr=LUHMAN_ET_AL__2006 href=http://adsabs.harvard.edu/abs/2006ApJ...649..894L target=ref> Luhman et al. 2006 </a>
63,CT Cha,CT Cha b,1,0,11h04m09.09s,166.037877,-76d27m19.4s,-76.455383,<a refstr=SCHMIDT_ET_AL__2008 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008A&A...491..311S target=ref> Schmidt et al. 2008 </a>
64,CoRoT-1,CoRoT-1 b,1,0,06h48m19.17s,102.079885,-03d06m07.7s,-3.102147,<a refstr=BARGE_ET_AL__2008 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008A&A...482L..17B target=ref> Barge et al. 2008 </a>
65,CoRoT-10,CoRoT-10 b,1,0,19h24m15.29s,291.063708,+00d44m46.1s,0.746143,<a refstr=BONOMO_ET_AL__2010 href=http://adsabs.harvard.edu/abs/2010A%26A...520A..65B target=ref> Bonomo et al. 2010 </a>
66,CoRoT-11,CoRoT-11 b,1,0,18h42m44.94s,280.687263,+05d56m15.7s,5.937688,<a refstr=GANDOLFI_ET_AL__2010 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010A%26A...524A..55G target=ref> Gandolfi et al. 2010 </a>
67,CoRoT-12,CoRoT-12 b,1,0,06h43m03.76s,100.765677,-01d17m47.2s,-1.296439,<a refstr=GILLON_ET_AL__2010 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010A%26A...520A..97G target=ref> Gillon et al. 2010 </a>
68,CoRoT-13,CoRoT-13 b,1,0,06h50m53.07s,102.721137,-05d05m11.2s,-5.086445,<a refstr=CABRERA_ET_AL__2010 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010A%26A...522A.110C target=ref> Cabrera et al. 2010 </a>
69,CoRoT-14,CoRoT-14 b,1,0,06h53m41.81s,103.424211,-05d32m09.7s,-5.536037,<a refstr=TINGLEY_ET_AL__2011 href=http://adsabs.harvard.edu/abs/2011A%26A...528A..97T target=ref> Tingley et al. 2011 </a>
70,CoRoT-16,CoRoT-16 b,1,0,18h34m05.93s,278.524691,-06d00m09.3s,-6.002595,<a refstr=OLLIVIER_ET_AL__2012 href=http://adsabs.harvard.edu/abs/2012A%26A...541A.149O target=ref> Ollivier et al. 2012 </a>
71,CoRoT-17,CoRoT-17 b,1,0,18h34m47.82s,278.699254,-06d36m44.0s,-6.612234,<a refstr=CSIZMADIA_ET_AL__2011 href=http://adsabs.harvard.edu/abs/2011A%26A...531A..41C target=ref> Csizmadia et al. 2011 </a>
72,CoRoT-18,CoRoT-18 b,1,0,06h32m41.38s,98.172410,-00d01m53.7s,-0.031586,<a refstr=HEBRARD_ET_AL__2011 href=http://adsabs.harvard.edu/abs/2011A%26A...533A.130H target=ref> Hebrard et al. 2011 </a>
73,CoRoT-19,CoRoT-19 b,1,0,06h28m08.06s,97.033582,-00d10m14.5s,-0.170681,<a refstr=GUENTHER_ET_AL__2012 href=http://adsabs.harvard.edu/abs/2012A%26A...537A.136G target=ref> Guenther et al. 2012 </a>
74,CoRoT-2,CoRoT-2 b,1,0,19h27m06.49s,291.777056,+01d23m01.4s,1.383714,<a refstr=ALONSO_ET_AL__2008 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008A&A...482L..21A target=ref> Alonso et al. 2008 </a>
75,CoRoT-20,CoRoT-20 b,2,0,06h30m52.90s,97.720408,+00d13m36.9s,0.226919,<a refstr=DELEUIL_ET_AL__2012 href=http://adsabs.harvard.edu/abs/2012A%26A...538A.145D target=ref> Deleuil et al. 2012 </a>
76,CoRoT-20,CoRoT-20 c,2,0,06h30m52.90s,97.720408,+00d13m36.9s,0.226919,<a refstr=REY_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180701229R target=ref>Rey et al. 2018</a>
77,CoRoT-22,CoRoT-22 b,1,0,18h42m40.11s,280.667115,+06d13m08.9s,6.219136,<a refstr=MOUTOU_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.444.2783M target=ref>Moutou et al. 2014</a>
78,CoRoT-23,CoRoT-23 b,1,0,18h39m07.83s,279.782615,+04d21m28.1s,4.357806,<a refstr=ROUAN_ET_AL__2012 href=http://adsabs.harvard.edu/abs/2012A%26A...537A..54R target=ref> Rouan et al. 2012 </a>
79,CoRoT-24,CoRoT-24 b,2,0,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,<a refstr=ALONSO_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...567A.112A target=ref> Alonso et al. 2014</a>
80,CoRoT-24,CoRoT-24 c,2,0,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,<a refstr=ALONSO_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...567A.112A target=ref> Alonso et al. 2014</a>
81,CoRoT-25,CoRoT-25 b,1,0,18h42m31.12s,280.629662,+06d30m49.8s,6.513829,<a refstr=ALMENARA_ET_AL__2013 href=http://adsabs.harvard.edu/abs/2013A%26A...555A.118A target=ref> Almenara et al. 2013 </a>
82,CoRoT-26,CoRoT-26 b,1,0,18h39m00.12s,279.750514,+06d58m11.2s,6.969787,<a refstr=ALMENARA_ET_AL__2013 href=http://adsabs.harvard.edu/abs/2013A%26A...555A.118A target=ref> Almenara et al. 2013 </a>
83,CoRoT-27,CoRoT-27 b,1,0,18h33m59.00s,278.495813,+05d32m18.5s,5.538462,<a refstr=PARVIAINEN_ET_AL__2014 href=http://adsabs.harvard.edu/abs/2014A%26A...562A.140P target=ref> Parviainen et al. 2014 </a>
84,CoRoT-28,CoRoT-28 b,1,0,18h34m45.20s,278.688338,+05d34m25.4s,5.573730,<a refstr=CABRERA_ET_AL__2015 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...579A..36C target=ref>Cabrera et al. 2015</a>
85,CoRoT-29,CoRoT-29 b,1,0,18h35m36.50s,278.902103,+06d28m46.7s,6.479651,<a refstr=CABRERA_ET_AL__2015 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...579A..36C target=ref>Cabrera et al. 2015</a>
86,CoRoT-3,CoRoT-3 b,1,0,19h28m13.26s,292.055263,+00d07m18.6s,0.121820,<a refstr=DELEUIL_ET_AL__2008 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008A&A...491..889D target=ref> Deleuil et al. 2008 </a>
87,CoRoT-4,CoRoT-4 b,1,0,06h48m46.72s,102.194663,-00d40m22.0s,-0.672774,<a refstr=AIGRAIN_ET_AL__2008 href=http://adsabs.harvard.edu/abs/2008A%26A...488L..43A target=ref> Aigrain et al. 2008 </a>
88,CoRoT-5,CoRoT-5 b,1,0,06h45m06.54s,101.277254,+00d48m54.9s,0.815239,<a refstr=RAUER_ET_AL__2009 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...506..281R target=ref> Rauer et al. 2009 </a>
89,CoRoT-6,CoRoT-6 b,1,0,18h44m17.41s,281.072525,+06d39m47.5s,6.663194,<a refstr=FRIDLUND_ET_AL__2010 href=http://adsabs.harvard.edu/abs/2010A%26A...512A..14F target=ref> Fridlund et al. 2010 </a>
90,CoRoT-7,CoRoT-7 b,2,0,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,<a refstr=LEGER_ET_AL__2009 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...506..287L target=ref> Leger et al. 2009 </a>
91,CoRoT-7,CoRoT-7 c,2,0,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,<a refstr=QUELOZ_ET_AL__2009 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...506..303Q target=ref> Queloz et al. 2009 </a>
92,CoRoT-8,CoRoT-8 b,1,0,19h26m21.24s,291.588518,+01d25m35.2s,1.426452,<a refstr=BORDE_ET_AL__2010 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010A%26A...520A..66B target=ref> Borde et al. 2010 </a>
93,CoRoT-9,CoRoT-9 b,1,0,18h43m08.81s,280.786712,+06d12m15.0s,6.204172,<a refstr=DEEG_ET_AL__2010 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010Natur.464..384D target=ref> Deeg et al. 2010 </a>
94,CoRoTID 223977153,CoRoTID 223977153 b,1,0,06h40m46.84s,100.195183,+09d15m26.8s,9.257431,<a refstr=BOUFLEUR_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170900351B target=ref>Boufleur et al. 2017</a>
95,DENIS-P J082303.1-491201,DENIS-P J082303.1-491201 b,1,0,08h23m03.13s,125.763050,-49d12m01.3s,-49.200359,<a refstr=SAHLMANN_ET_AL__2013 href=http://adsabs.harvard.edu/abs/2013A%26A...556A.133S target=ref> Sahlmann et al. 2013 </a>
96,DH Tau,DH Tau b,1,0,04h29m41.56s,67.423158,+26d32m58.3s,26.549520,<a refstr=ITOH_ET_AL__2005 href=http://adsabs.harvard.edu/abs/2005ApJ...620..984I target=ref> Itoh et al. 2005 </a>
97,DP Leo,DP Leo b,1,0,11h17m16.00s,169.316667,+17d57m41.1s,17.961417,<a refstr=QIAN_ET_AL__2010 href=http://adsabs.harvard.edu/abs/2010ApJ...708L..66Q target=ref> Qian et al. 2010 </a>
